שם יישוב,קואורדינטות
אבו ג'ווייעד (שבט),2040057100
אבו גוש,2105263481
אבו סנאן,2161876289
אבו סריחאן (שבט),1865057450
אבו עבדון (שבט),1850057900
אבו עמאר (שבט),1950056700
אבו עמרה (שבט),1850057100
אבו קורינאת (יישוב),1963656105
אבו קורינאת (שבט),1970056000
אבו רובייעה (שבט),2050057200
אבו רוקייק (שבט),1920056600
אבו תלול,1933456589
אבטין,2109274077
אבטליון,2332474908
אביאל,1996171533
אביבים,2444177707
אביגדור,1757362428
אביחיל,1880869527
אביטל,2291271816
אביעזר,2016662104
אבירים,2271577149
אבן יהודה,1894368642
אבן מנחם,2278177545
אבן ספיר,2128463002
אבן שמואל,1777860926
אבני איתן,2719674774
אבני חפץ,2070768795
אבנת,2414762075
אבשלום,1361956745
אדורה,2016960665
אדירים,2257871719
אדמית,2198477600
אדרת,1995861868
אודים,1858168580
אודם,2702878880
אוהד,1458057199
אום אל-פחם,2145071403
אום אל-קוטוף,2055370835
אום בטין,1886757656
אומן,2230271879
אומץ,1996769744
אופקים,1637757969
אור הגנוז,2421276783
אור הנר,1620260736
אור יהודה,1863465962
אור עקיבא,1927171271
אורה,2145862906
אורון,2014453557
אורות,1749262782
אורטל,2712077699
אורים,1545457936
אורנים,2104973529
אורנית,1995367087
אושה,2110474462
אזור,1819465899
"אזור אילון מ""א 4",2196077510
"אזור אילון מ""א 52",2266077360
"אזור אילון של""ש",2314076950
"אזור אשדוד מ""א 29",1726063970
"אזור אשדוד מ""א 33",1649062930
"אזור אשדוד של""ש",1681064050
"אזור אשקלון מ""א 36",1663061620
"אזור אשקלון מ""א 37",1637060210
"אזור באר שבע מ""א 41",1807058120
"אזור באר שבע מ""א 51",2240057100
"אזור באר שבע של""ש",1974056740
"אזור בשור מ""א 38",1457057060
"אזור בשור מ""א 39",1505059540
"אזור בשור מ""א 42",1608057600
"אזור גלילות מ""א 19",
"אזור גרר מ""א 39",1572058820
"אזור גרר מ""א 41",1725058920
"אזור גרר מ""א 42",1679059410
"אזור זכרון יעקב מ""א 15",2001072840
"אזור זכרון יעקב של""ש",2040072880
"אזור חדרה מ""א 14",2012070620
"אזור חדרה מ""א 15",1932070920
"אזור חדרה מ""א 45",1999071630
"אזור חדרה של""ש",2029069980
"אזור חולון של""ש",1817066000
"אזור חיפה מ""א 12",2104074200
"אזור חיפה של""ש",2088073220
"אזור חצור מ""א 1",2545075990
"אזור חצור מ""א 55",2584076640
"אזור חצור של""ש",2549076740
"אזור יחיעם מ""א 2",2386075990
"אזור יחיעם מ""א 4",2180076770
"אזור יחיעם מ""א 52",2283076610
"אזור יחיעם מ""א 56",2214075970
"אזור יחיעם של""ש",2325076540
"אזור ים המלח מ""א 51",2340056200
"אזור יקנעם מ""א 13",2121072800
"אזור יקנעם מ""א 9",2115073310
"אזור כינרות מ""א 3",2481074680
"אזור כנרות מ""א 1",2528075660
"אזור כנרות מ""א 6",2610074110
"אזור כנרות של""ש",
"אזור כרמיאל מ""א 2",2339075980
"אזור כרמיאל מ""א 56",2327075530
"אזור כרמיאל של""ש",2369075930
"אזור לכיש מ""א 34",1769061100
"אזור לכיש מ""א 35",1870061370
"אזור לכיש מ""א 41",1888059260
"אזור לכיש מ""א 50",1836060440
"אזור מודיעין מ""א 25",2311074610
"אזור מודיעין מ""א 30",2010069770
"אזור מודיעין של""ש",1833067310
"אזור מלאכי מ""א 33",1755063200
"אזור מלאכי מ""א 34",1766062160
"אזור מלאכי מ""א 35",1816062200
"אזור מלאכי מ""א 50",1780061800
"אזור נהרייה מ""א 4",2125076910
"אזור נהרייה של""ש",2131076190
"אזור עכו מ""א 4",2128075480
"אזור עכו מ""א 56",2128075670
"אזור עכו של""ש",2127075860
"אזור פתח תקווה מ""א 20",1933066570
"אזור פתח תקווה מ""א 25",1984065740
"אזור פתח תקווה של""ש",1921066200
"אזור ראשל""צ מ""א 27",1753064760
"אזור ראשל""צ של""ש",1755065150
"אזור רחובות מ""א 28",1803064000
"אזור רחובות מ""א 29",1721063800
"אזור רחובות מ""א 30",1843064140
"אזור רחובות מ""א 31",1832063450
"אזור רחובות מ""א 32",1745063800
"אזור רחובות של""ש",1721064500
"אזור רמלה מ""א 25",
"אזור רמלה מ""א 30",1891064330
"אזור רמלה מ""א 40",1865065340
"אזור רמלה של""ש",1850065140
"אזור רמת גן של""ש",1864066110
"אזור שפרעם מ""א 56",2266075010
"אזור שפרעם מ""א 9",2179074200
"אזור שפרעם של""ש",2183074930
"אזור תל אביב של""ש",
אזור תעסוקה משגב(תרדיון),2258775255
"אזור תעשיה אכסאל מ""א 9",2325072360
אזור תעשייה אכזיב (מילואות),2105277464
אזור תעשייה נעמן (מילואות),2091475412
אחווה,1782162796
אחוזם,1782260687
אחוזת ברק,2320072762
אחיהוד,2165275698
אחיטוב,1993269934
אחיסמך,1914164919
אחיעזר,1879365441
אטרש (שבט),1940057520
איבים,1629760477
אייל,1982667982
איילת השחר,2541876990
אילון,2206177423
אילון תבור*,2343272675
אילות,1960438820
אילנייה,2384773998
אילת,1941438506
אירוס,1790064853
איתמר,2292167559
איתן,1761460898
איתנים,2091163181
אכסאל,2307173191
אל -עזי,1809962556
אל -עריאן,2120271154
אל -רום,2723278740
אל סייד,1917857711
אלומה,1757561777
אלומות,2515173475
אלון הגליל,2208574025
אלון מורה,2314668228
אלון שבות,2120261805
אלוני אבא,2162873720
אלוני הבשן,2787077224
אלוני יצחק,2006271295
אלונים,2139173611
אלי-עד,2691474572
אליאב,1934260408
אליכין,1931870156
אליפז,2007841187
אליפלט,2515276149
אליקים,2065872642
אלישיב,1917069855
אלישמע,1934267328
אלמגור,2566875753
אלמוג,2437863294
אלעד,1960566201
אלעזר,2135261872
אלפי מנשה,2014567558
אלקוש,2306077091
אלקנה,2036366868
אמונים,1694062801
אמירים,2425676027
אמנון,2537975663
אמציה,1918460450
אניעם,2695476260
אסד (שבט),1880058150
אספר,2178461041
אעבלין,2176574799
אעצם (שבט),1910056100
אפיניש (שבט),1990058000
אפיק,2660674275
אפיקים,2544973191
אפק,2122974931
אפרת,2150761920
ארבל,2456474646
ארגמן,2495167550
ארז,1588860773
אריאל,2178666790
ארסוף,1828768007
אשבול,1682759518
אשבל,2288975354
אשדוד,1669063377
אשדות יעקב (איחוד),2547172936
אשדות יעקב (מאוחד),2550172977
אשחר,2284675455
אשכולות,1907558887
אשל הנשיא,1711958167
אשלים,1712654161
אשקלון,1596861983
אשרת,2148876406
אשתאול,2009563206
באקה אל-גרביה,2041570285
באר אורה,1983840253
באר גנים,1629862324
באר טוביה,1739062698
באר יעקב,1849365000
באר מילכה,1432753827
באר שבע,1795757361
בארות יצחק,1916866088
בארותיים,1986469199
בארי,1516059265
בוסתן הגליל,2080176185
בועיינה-נוג'ידאת,2348174591
בוקעאתא,2730078972
בורגתה,1966969241
בחן,2021069538
בטחה,1650258264
"בי""ס אזורי מקיף (אשר)",2144276829
ביצרון,1744563381
ביר אל-מכסור,2211274310
ביר הדאג',1714654845
בירייה,2471076480
בית אורן,2007573739
בית אל,2212164986
בית אלעזרי,1814663909
בית אלפא,2407871366
בית אריה-עופרים,2048666000
בית ברל,1932267865
בית ג'ן,2356776325
בית גוברין,1901861345
בית גמליאל,1775164051
בית דגן,1840765643
בית הגדי,1626059275
בית הלוי,1937569557
בית הלל,2568779040
בית העמק,2138176405
בית הערבה,2452263505
בית השיטה,2415671754
בית זיד,2110773411
בית זית,2154163215
בית זרע,2540573277
בית חולים פוריה,2509473984
בית חורון,2121064280
בית חירות,1878069841
בית חלקיה,1822563335
בית חנן,1786964904
בית חנניה,1932771490
בית חשמונאי,1924564399
בית יהושע,1875268523
בית יוסף,2520671839
בית ינאי,1873769865
בית יצחק-שער חפר,1899269342
בית לחם הגלילית,2181773782
בית מאיר,2035663349
בית נחמיה,1958765375
בית ניר,1879961738
בית נקופה,2120163464
בית עובד,1787064773
בית עוזיאל,1911464200
בית עזרא,1674262732
בית עריף,1939465589
בית צבי,1974473615
בית קמה,1773159525
בית קשת,2372373602
בית רבן,1744963615
בית רימון,2310474304
בית שאן,2469671125
בית שמש,1990062669
בית שערים,2169973357
בית שקמה,1628461632
ביתן אהרן,1880069686
ביתר עילית,2107462248
בלפוריה,2280972620
בן זכאי,1744464050
בן עמי,2119076783
בן שמן (כפר נוער),1932665185
בן שמן (מושב),1928365110
בני ברק,1845566599
בני דקלים,1924560284
בני דרום,1708963652
בני דרור,1907168542
בני יהודה,2648874494
בני נצרים,1346156141
בני עטרות,1920265901
"בני עי""ש",1774163306
בני ציון,1877968066
בני ראם,1803363099
בניה,1767263908
בנימינה-גבעת עדה*,1966971417
"בסמ""ה",2100771513
בסמת טבעון,2148073834
בענה,2258875935
בצרה,1886968001
בצת,2129677511
בקוע,1930663736
בקעות,2428968327
"בקעת נטופה מ""א 56",2546075680
"בקעת תירען מ""א 3",2334074370
בר-לב,2179175689
בר גיורא,2069462636
בר יוחאי,2423176694
ברוכין,2086866535
ברור חיל,1665060742
ברוש,1650958666
ברכה,2251867768
ברכיה,1645461979
ברעם,2409177367
ברק,2251371652
ברקאי,2030170904
ברקן,2101566821
ברקת,1948865814
בת הדר,1618161736
בת חן,1881869630
בת חפר,2014969329
בת ים,1765265859
בת עין,2096361842
בת שלמה,2005972292
בתי זיקוק - קישון,2057074449
ג'דיידה-מכר,2140675939
ג'ולס,2174876080
ג'לג'וליה,1957367322
ג'נאביב (שבט),2030056900
ג'סר א-זרקא,1919671585
ג'ש (גוש חלב),2419976974
ג'ת,2036070065
גאולי תימן,1909769986
גאולים,1950268938
"גאון הירדן מ""א 3",
גאליה,1779264365
גבולות,1490356905
גבים,1617060180
גבע,2351971912
גבע בנימין,2262163967
גבע כרמל,1960372982
גבעולים,1611658959
גבעון החדשה,2150863946
גבעות בר,1768358505
גבעת אבני,2414274234
גבעת אלה,2232973632
גבעת ברנר,1812764167
גבעת השלושה,1927566726
גבעת זאב,2159164034
"גבעת ח""ן",1883167498
גבעת חביבה,2022770712
גבעת חיים (איחוד),1938370064
גבעת חיים (מאוחד),1937069975
גבעת יואב,2641674503
גבעת יערים,2088163269
גבעת ישעיהו,1948961988
"גבעת כ""ח",1940765983
"גבעת ניל""י",2041471707
גבעת עוז,2189071785
גבעת שמואל,1860266489
גבעת שמש,1955163138
גבעת שפירא,1886069600
גבעתי,1698062683
גבעתיים,1822166429
גברעם,1632461117
גבת,2202173114
גדות,2582576941
גדיש,2232471831
גדעונה,2339771717
גדרה,1792663560
"גולן דרומי מ""א 71",2704074680
"גולן צפוני מ""א 71",2709077860
"גולן תיכון מ""א 71",2670076100
גונן,2607478109
גורן,2224377349
גורנות הגליל,2236377386
גזית,2422172722
גזר,1925264268
גיאה,1624261519
גיבתון,1811964406
גיזו,1943163471
גילון,2225075645
גילת,1668758193
גינוסר,2493075035
גיניגר,2244072994
גינתון,1919965223
גיתה,2236176356
גיתית,2375966764
גלאון,1856061576
גלגל,2424165627
גליל ים,1842067381
"גליל עליון מז מ""א 1",2362077180
"גליל עליון מז מ""א 2",2438076690
"גליל עליון מז מ""א 55",2508077340
"גליל עליון מז של""ש",2385076890
"גליל תחתון מז מ""א 2",2419075400
"גליל תחתון מז מ""א 3",2426074060
"גליל תחתון מז מ""א 6",2484072760
"גליל תחתון מז של""ש",2416075000
גלעד (אבן יצחק),2074371811
"גמ""ל מחוז דרום",
גמזו,1945464834
גן הדרום,1717663473
גן השומרון,2000870764
גן חיים,1912867798
גן יאשיה,1996469519
גן יבנה,1724863297
גן נר,2320271533
גן שורק,1775365029
גן שלמה,1810764287
גן שמואל,1955870649
גנות,1839465836
גנות הדר,1908469192
גני הדר,1862764289
גני טל,1803963293
גני יוחנן,1848064064
גני מודיעין,2017564847
גני עם,1908667313
גני תקווה,1883666302
געש,1836668178
געתון,2204676792
גפן,1885762761
גרופית,2059442806
גשור,2674574724
גשר,2520072518
גשר הזיו,2107977153
גת (קיבוץ),1805861511
גת רימון,1888366395
דאלית אל-כרמל,2050573325
דבורה,2250471761
דבורייה,2351373300
דבירה,1831659134
דברת,2330672817
דגניה א',2541873489
דגניה ב',2542173403
"דוב""ב",2383977297
דולב,2127464816
דור,1929172372
דורות,1663160175
דחי,2325872519
דייר אל-אסד,2254176009
דייר חנא,2348075200
דייר ראפאת,1950863156
דימונה,2033055318
דישון,2488277637
דלייה,2072972171
דלתון,2460576912
דמיידה,2216374673
דן,2612479393
דפנה,2599179280
דקל,1377356740
"דרום השרון מ""א 18",
"דרום השרון מ""א 20",1899068100
"דרום השרון של""ש",1960067130
דרום יהודה,
דריג'את,2072057882
האון,2585973681
הבונים,1939572694
הגושרים,2585379177
הדר עם,1909169506
הוד השרון,1901867323
הודיות,2410774379
הודייה,1660062041
הוואשלה (שבט),2020055900
הוזייל (שבט),1762059080
הושעיה,2276174046
הזורע,2114872773
הזורעים,2473873908
החותרים,1962473978
היוגב,2194972416
הילה,2231777125
המעפיל,1985969829
המרכז למחקר-נחל שורק,1718164583
הסוללים,2225673956
העוגן,1930669651
"הערבה מ""א 51",
"הערבה מ""א 53",2062043180
"הערבה מ""א 54",2159050670
הר אדר,2123263711
"הר אלכסנדר מ""א 14",2050071490
"הר אלכסנדר מ""א 45",2009071920
"הר אלכסנדר של""ש",2105071460
הר גילה,2163962544
"הר הנגב הדרומי מ""א 48",1851048010
"הר הנגב הדרומי מ""א 53",1883044330
"הר הנגב הדרומי מ""א 54",2040048240
"הר הנגב הצפוני מ""א 48",1728052230
"הר הנגב הצפוני מ""א 51",2189054410
"הר הנגב הצפוני מ""א 53",1658047710
"הר הנגב הצפוני מ""א 54",2054052480
הר עמשא,2097158352
הראל,1953163517
הרדוף,2165274100
"הרי יהודה מ""א 26",2067063030
"הרי יהודה של""ש",
הרי נצרת-תירען,2351073910
"הרי נצרת-תירען מ""א 9",2227073890
הרצלייה,1845367521
הררית,2346375011
השומרון,2235665137
ורד יריחו,2411063710
ורדון,1793861911
זבארגה (שבט),2032057170
זבדיאל,1773161858
זוהר,1708861156
זיקים,1546761323
זיתן,1897765366
זכרון יעקב,1958171960
זכריה,1948662416
זמר,2035069681
זמרת,1574959529
זנוח,2000062667
זרועה,1642959642
זרזיר,2211273670
זרחיה,1759462110
ח'ואלד,2131074174
ח'ואלד (שבט),2150174051
חבצלת השרון,1872969635
חבר,2250871708
חגור,1951767159
חגי,2076160011
חגלה,1932769927
חד-נס,2604175924
חדיד,1936865290
חדרה,1925470466
חוג'ייראת (ד'הרה) (שבט),2278574887
חולדה,1889863766
חולון,1792565823
חולית,1357357134
חולתה,2573277301
חוסן,2280776697
חוסנייה,2302975616
"חוף הכרמל מ""א 15",1947072760
חופית,1883769905
חוקוק,2466775401
חורה,1938957840
חורפיש,2327376917
חורשים,1974467160
חזון,2372775686
חיבת ציון,1919970042
חיננית,2159770970
חיפה,2011274544
חירות,1921568300
חלוץ,2295476170
חלץ,1676360965
"חמ""ד",1849965847
חמאם,2461974838
חמדיה,2490971407
חמדת,2497768423
חמרה,2412967837
חניאל,1954169328
חניתה,2166577698
חנתון,2232574324
חספין,2746775022
חפץ חיים,1811563304
חפצי-בה,2400871389
חצב,1782763212
חצבה,2266751976
חצור-אשדוד,1735963120
חצור הגלילית,2511776534
חצרים,1726857216
חרב לאת,1923970091
חרוצים,1874468161
חריש,2044270746
"חרמון מ""א 71",2685079910
חרמש,2114170327
חרשים,2310076241
חשמונאים,2023664872
טבריה,2493774370
טובא-זנגרייה,2556276342
טורעאן,2354674243
טייבה,2008068569
טייבה (בעמק),2420372335
טירה,1958168225
טירת יהודה,1938865787
טירת כרמל,1976774079
טירת צבי,2499570302
טל-אל,2170275899
טל שחר,1908863475
טללים,1779654464
טלמון,2128164953
טמרה,2180675104
טמרה (יזרעאל),2381772670
טנא,1959158706
טפחות,2398375265
יאנוח-ג'ת,2232476507
יבול,1349756676
יבנאל,2475073496
יבנה,1752164277
יגור,2075373859
יגל,1887165509
יד בנימין,1832563395
יד השמונה,2086063517
יד חנה,2007869249
יד מרדכי,1581461092
יד נתן,1721361788
"יד רמב""ם",1907264528
ידידה,2100963561
יהוד-מונוסון,1893966002
יהל,2121144384
יובל,2561279464
יובלים,2256175375
יודפת,2257774918
יונתן,2746276049
יושיביה,1628759479
יזרעאל,2304071866
יחיעם,2209176694
יטבתה,2055242295
"ייט""ב",2401765051
יכיני,1619959912
ים המלח - בתי מלון,2345056749
ינוב,1954569033
ינון,1793762785
יסוד המעלה,2566777360
יסודות,1873363588
יסעור,2158075625
יעד,2230275382
יעל,2291971752
יעף,1970268605
יערה,2176977466
"יערות גבעת המורה מ""א 9",2404072680
יפיע,2261573224
יפית,2449066340
יפעת,2213773137
יפתח,2518578154
יצהר,2225767495
יציץ,1868964119
יקום,1853068397
יקיר,2108767292
יקנעם (מושבה),2110572892
יקנעם עילית,2091772807
יראון,2428777582
ירדנה,2532871906
ירוחם,1930754414
ירושלים,2209463224
ירחיב,1971367328
ירכא,2197376222
ירקונה,1906367246
ישע,1430657316
ישעי,1968262879
ישרש,1857564697
יתד,1358356863
כאבול,2198575279
כאוכב אבו אל-היג'א,2236074842
כברי,2142776959
כדורי,2383373428
כדיתה,2437276776
כוכב השחר,2330665192
כוכב יאיר,1997868091
כוכב יעקב,2231064307
כוכב מיכאל,1686461535
כורזים,2518675737
כחל,2481075513
כחלה,2050657758
כיסופים,1428458732
כישור,2237176123
כליל,2191176514
כלנית,2429675339
כמאנה,2331475759
כמהין,1455653579
כמון,2340075748
כנות,1766263444
כנף,2658275286
כנרת (מושבה),2532173672
כנרת (קבוצה),2529473550
כסיפה,2084257246
כסלון,2047663127
כסרא-סמיע,2287876386
כעביה-טבאש-חג'אג'רה,2176673949
כפר אביב,1736963771
כפר אדומים,2321863714
כפר אוריה,1951063335
כפר אחים,1770562808
כפר ביאליק,2084074741
"כפר ביל""ו",1836164227
כפר בלום,2571678650
כפר בן נון,1951064104
כפר ברא,1974067087
כפר ברוך,2181972796
כפר גדעון,2276072774
כפר גלים,1964574131
כפר גליקסון,2006571239
כפר גלעדי,2539479418
כפר דניאל,1937364901
כפר האורנים,2036264742
כפר החורש,2258873404
כפר המכבי,2111674393
כפר הנגיד,1764264395
כפר הנוער הדתי,2095073872
כפר הנשיא,2567576448
כפר הס,1939568366
"כפר הרא""ה",1919269967
"כפר הרי""ף",1804562817
כפר ויתקין,1887269868
כפר ורבורג,1741762527
כפר ורדים,2255076676
כפר זוהרים,1929261436
כפר זיתים,2437174638
"כפר חב""ד",1859765528
כפר חושן,2413676858
כפר חיטים,2473974519
כפר חיים,1908269563
כפר חנניה,2399275781
