עיר,שנות_לימוד_ערך,עובדים_אקדמאים_מנהלים_ערך,בוגרי_אדקמיה_ערך,משכורת_ערך,אינטרנט_ערך,עבודה_10,פריפריה_ערך
אבו גוש,-1.22,-1.05,-1,-1.64,-1.72,-1.381624649,
אבו סנאן,-0.62,-0.43,-0.69,-1.62,-1,-1.836674307,
אבן יהודה,1.37,1.18,1.03,0.72,1.21,-0.387944783,
אום אל-פחם,-1.18,-0.83,-1.3,-1.33,-1.1,-1.890846886,
אופקים,-1.03,-0.91,-0.33,-0.12,-0.54,-1.903229189,
אור יהודה,-0.67,-0.64,-0.53,0.21,-0.21,4.080519037,
אור עקיבא,-0.59,-0.95,-0.26,-0.13,-0.29,-1.722137999,
אורנית,1.11,1.23,0.95,0.97,1.65,0.202278356,
אזור,-0.06,0.02,0.2,1,0.75,3.272573726,
אילת,-0.69,-0.67,-0.08,0.6,0.59,-1.898585826,
אכסאל,-0.88,-1.09,-1.12,-1.15,-1.52,-1.808814124,
אליכין,-0.14,-0.31,0.18,0.95,1.09,-1.575614073,
אלעד,-0.87,-0.64,0.18,-1.8,-0.72,1.236200709,
אלפי מנשה,0.56,1.06,0.81,1.07,1.39,-0.203242088,
אלקנה,2.6,3.52,1.46,0.73,1.08,-0.97300863,
אעבלין,-0.74,-0.69,-1.33,-0.76,-0.64,-1.861438915,
אריאל,0.08,-0.5,0.34,0.33,0.19,-1.901165472,
אשדוד,-0.29,-0.51,0.01,0.04,0.03,-1.77424686,
אשקלון,-0.15,-0.49,-0.05,0.74,0.35,-1.843381389,
באר יעקב,-0.05,-0.02,0.3,0.63,0.75,-0.387944783,
באר שבע,-0.06,-0.14,0.28,0.6,0.3,-1.812425629,
בועיינה-נוג'ידאת,-0.97,-0.63,-1.24,-0.98,-1.11,-1.830999085,
בוקעאתא,-0.88,-0.84,-1.38,-2.76,-1.52,-1.904261048,
ביר אל-מכסור,-1.2,-1.15,-1.56,-0.71,-1.14,-1.792304386,
בית אל,1.17,0.76,0.96,0.02,-0.28,-1.886203522,
בית ג'ן,-0.72,-0.71,-0.86,-1.45,-1.35,-1.852152187,
בית דגן,0.08,-0.12,0.15,0.91,2.29,3.343771971,
בית שאן,-1.02,-1,-0.41,0.87,-0.35,-1.90271326,
בית שמש,-0.17,-0.3,0.19,-1.07,-0.69,-1.689634452,
ביתר עילית,-1.08,-0.53,0.11,-2.04,-0.95,-1.425478641,
בני ברק,-0.96,-0.23,0.09,-0.77,-0.4,4.303916432,
"בני עי""ש",0.47,-0.49,0.29,-0.32,-0.32,-1.635977803,
בסמת טבעון,-1.38,-1.44,-1.26,-0.39,-1.25,-1.695825604,
בת ים,-0.35,-0.79,-0.15,0.17,-0.13,3.309204707,
ג'דיידה-מכר,-0.15,0.15,0.37,-0.08,-0.13,-1.904776977,
ג'ולס,1.98,2.18,1.25,0.67,0.68,-1.836158378,
ג'לג'וליה,1.89,1.54,1.34,1.09,0.8,3.666227795,
ג'סר א-זרקא,-0.8,-0.8,-1,-1.12,-1.07,-1.724201716,
ג'ש (גוש חלב),0.42,0.28,0.47,0.4,0.57,-1.904776977,
גבעת זאב,-0.45,-0.47,-0.65,-1.39,-1.05,-1.589028235,
גבעת שמואל,-1.26,-0.99,-1.52,-1.85,-1.6,4.489135057,
גבעתיים,0.13,0.09,0.48,0.13,0.44,4.389560698,
גדרה,1.25,1.39,0.82,0.92,0.77,-1.566843274,
גן יבנה,-1.04,-1.24,-2.21,-2.26,-1.8,-1.640105237,
גני תקווה,0.75,0.5,0.52,0.3,-0.96,4.340031484,
דבורייה,-0.83,-0.68,-0.54,-1.53,-1.52,-1.809845983,
דייר חנא,-0.46,-0.49,-0.58,-1.38,-1.15,-1.838222095,
דימונה,-1.02,-1,-0.29,0.72,-0.21,-1.904776977,
הוד השרון,1.52,1.51,1.09,0.96,1.25,4.147589848,
הר אדר,2.05,2.74,1.65,1.65,1.9,-1.904776977,
הרצלייה,1.14,0.78,0.78,1.43,1.47,4.390592557,
זכרון יעקב,1.5,1.61,1.26,0.7,0.9,-1.722137999,
זמר,-0.94,-0.91,-0.78,-0.91,-0.69,-1.856795551,
זרזיר,-1.37,-1.2,-1.33,-1.13,-1.36,-1.699953038,
חדרה,-0.17,-0.36,0.11,0.64,0.49,-1.582837083,
חולון,-0.14,-0.28,0.14,0.58,0.22,3.346867547,
חורה,-1.11,-0.4,-1.26,-0.53,-0.72,-1.812941559,
חורפיש,-0.42,-0.36,-0.44,-1.15,-1.06,-1.852152187,
חיפה,0.84,0.67,0.67,1.06,0.6,-1.270183917,
חצור הגלילית,-1.02,-0.94,-0.43,0.41,-0.55,-1.903229189,
טבריה,-0.95,-0.95,-0.31,0.58,0.23,-1.849056611,
טורעאן,-0.32,-0.2,-0.8,-0.57,-0.21,-1.852152187,
טייבה,-1,-0.53,-0.79,-0.45,-0.67,-1.145329022,
טירה,-0.93,-0.95,-0.86,-0.93,-0.88,-0.297657153,
טירת כרמל,-0.93,-0.96,-0.52,0.44,-0.04,-1.463657411,
טמרה,-1,-0.91,-1.2,-0.07,-0.63,-1.857827409,
יאנוח-ג'ת,-0.61,-1.21,-0.77,-1.52,-0.99,-1.840285813,
יבנאל,-0.54,-0.71,-0.03,0.89,0.36,-1.845445106,
יבנה,-0.35,-0.18,-0.02,0.08,0.16,-1.640105237,
יהוד,0.29,0.33,0.32,0.6,0.27,4.232202256,
יפיע,-0.76,-0.37,-0.74,-1.07,-0.89,-1.702016756,
יקנעם עילית,0.73,0.48,0.41,0,0.19,-1.648360106,
ירוחם,-0.95,-1,-0.29,0.27,-0.52,-1.904776977,
ירושלים,-0.04,0.2,0.05,-0.59,-0.3,-1.428574217,
ירכא,-1.09,-0.7,-1.18,-1.54,-1.48,-1.840801742,
כאבול,-0.72,-0.63,-0.9,-0.86,-0.94,-1.904776977,
כאוכב אבו אל-היג'א,-0.64,-0.23,-0.72,-1.56,-1.53,-1.904776977,
כוכב יאיר,2.17,2.12,1.44,0.82,1.21,-0.56439261,
כסיפה,-0.29,-0.99,-1.11,-2.44,-1.37,-1.90271326,
כסרא-סמיע,-1.33,-1.17,-1.87,-0.97,-1.41,-1.843381389,
כעביה-טבאש-חג'אג'רה,-0.78,-1.29,-1.22,0.67,-1.13,-1.695309674,
כפר ברא,-0.41,-0.21,-0.55,-1.48,-1.42,1.535955642,
כפר ורדים,2.17,1.92,1.53,0.84,1.86,-1.841833601,
כפר יאסיף,-0.24,-0.06,-0.02,-1.11,-0.72,-1.85731148,
כפר יונה,0.77,0.47,0.64,0.75,1.14,-1.5549769,
כפר כמא,-0.46,-1.31,-0.28,-0.73,-0.81,-1.837706166,
כפר כנא,-1.19,-0.89,-1.16,-1.43,-1.1,-1.813973417,
כפר מנדא,-1.18,-0.76,-1.31,-0.51,-1.09,-1.785081376,
כפר סבא,1.02,0.71,0.76,0.89,0.85,3.490295898,
כפר קאסם,-0.62,-0.36,-0.63,-1.33,-0.77,1.596319372,
כפר קרע,-0.37,-0.23,-0.1,-0.29,-0.69,-1.724201716,
כפר תבור,1.34,1.49,1.09,1.35,1.96,-1.827903509,
כרמיאל,0.15,-0.18,0.61,0.97,0.77,-1.808814124,
להבים,1.75,2.35,1.69,0.43,1.24,-1.78920881,
לוד,-0.67,-0.88,-0.56,0.14,-0.23,-0.65519617,
לקיה,-1.64,-1.15,-1.87,-0.81,-0.99,-1.787661022,
מבשרת ציון,0.73,1.2,0.8,0.86,0.97,-1.423414924,
מג'דל שמס,-0.98,-0.81,-0.85,-1.53,-1.23,-1.904776977,
מגאר,-0.45,-0.59,-0.15,0.52,-0.1,-1.845445106,
מגדל העמק,-0.54,-0.49,-0.64,-1.86,-1.48,-1.702532685,
מודיעין עילית,1.79,1.56,1.31,0.02,0.6,-1.786629164,
מזכרת בתיה,1.28,1.35,1.04,0.61,0.95,-1.492033523,
מזרעה,-1.23,-1.08,-1.16,-0.84,-1.21,-1.884655734,
מיתר,2.33,2.25,1.55,1.03,1.63,-1.87227343,
מסעדה,-1.09,-0.94,-1.23,-2.8,-1.7,-1.904776977,
מעיליא,0.28,0.8,0.59,-0.37,-0.03,-1.848540682,
מעלה אדומים,0.1,-0.21,0.33,-0.35,-0.31,-1.643200813,
מעלות-תרשיחא,-0.26,-0.67,0.28,0.28,-0.28,-1.848540682,
מצפה רמון,-0.72,-0.74,0.22,0.32,-0.43,-1.769087567,
משהד,-1.11,-0.55,-1.14,-0.57,-0.9,-1.807782266,
נהרייה,0.04,-0.2,0.31,0.69,0.27,-1.890330956,
נחף,-0.99,-0.9,-1.03,-1.7,-1.58,-1.809845983,
נס ציונה,0.52,0.6,0.55,0.34,0.4,-1.309910474,
נצרת,-0.57,-0.44,-0.55,-0.71,-0.74,-1.808298195,
נשר,0.83,0.55,0.84,0.89,0.62,-1.336738799,
נתיבות,-0.75,-0.89,-0.18,-0.31,-0.51,-1.861438915,
נתניה,0.06,-0.19,0.08,0.4,0.43,-1.66848135,
סאג'ור,-0.66,-0.75,-0.75,-1,-1.29,-1.809845983,
סח'נין,-0.86,-0.63,-0.8,-1.22,-1.26,-1.833062802,
עומר,2.51,4.04,1.83,2.14,1.95,-1.809330054,
עיילבון,0.22,0.23,-0.32,-1,-0.47,-1.844413247,
עילוט,-1.41,-0.87,-1.86,0.19,-0.45,-1.66848135,
עין מאהל,-0.96,-0.84,-0.94,-0.06,-0.29,-1.808298195,
עכו,-0.86,-0.86,-0.43,0.33,-0.26,-1.486358301,
עמנואל,-0.9,-0.81,-0.05,-0.73,-0.28,-1.900133613,
עפולה,-0.54,-0.74,-0.24,0.69,0.31,-1.84234953,
עראבה,-0.5,-0.62,-0.8,-1.39,-1.27,-1.837706166,
ערד,-0.19,-0.53,0.15,1.13,0.57,-1.90271326,
ערערה,-0.55,-0.54,-0.41,-1.92,-1.08,-1.807782266,
ערערה-בנגב,-1.26,-0.98,-3.96,-0.17,-1.09,-1.903229189,
פוריידיס,-0.94,-0.92,-1.29,-1.88,-2.06,-1.735552161,
פסוטה,-0.47,-0.88,-0.48,-0.83,-0.23,-1.904776977,
פקיעין (בוקייעה),0.17,-0.1,-0.33,-0.72,-0.43,-1.852668116,
פרדס חנה-כרכור,0.38,0.18,0.48,0.64,0.57,-1.716978706,
פרדסייה,0.01,-0.15,0.65,0.46,0.86,-1.213947621,
פתח תקווה,0.45,0.12,0.39,0.43,0.36,4.470045672,
צפת,-0.55,-0.37,-0.06,0.46,-0.01,-1.90271326,
קדומים,0.78,1.38,0.85,0.39,-0.09,-1.904776977,
קלנסווה,-1.34,-0.97,-1.3,-1.71,-1.68,-0.954951103,
קצרין,-0.15,-0.02,0.2,0.96,0.68,-1.904776977,
קריית אונו,1.11,1.11,0.89,1.15,0.66,4.593352779,
קריית ארבע,0.33,-0.17,0.45,0.21,-0.16,-1.904776977,
קריית אתא,-0.5,-0.57,-0.01,0.7,0.3,-1.454886612,
קריית ביאליק,-0.02,-0.19,0.22,1.18,0.47,-1.464689269,
קריית גת,-0.69,-0.86,-0.27,0.2,-0.11,-1.839253954,
קריית טבעון,1.42,1.65,1.37,1.09,1.09,-1.639589308,
קריית ים,-0.38,-0.74,-0.19,0.77,0.09,-1.464689269,
קריית יערים,-0.4,0.7,0.52,-0.92,-0.47,-1.380076861,
קריית מוצקין,0.05,-0.01,0.33,1.14,0.47,-1.466237057,
קריית מלאכי,-1.05,-1.06,-0.89,0.3,-0.34,-1.802622972,
קריית עקרון,-0.77,-0.87,-0.22,0.16,0.19,-1.492549453,
קריית שמונה,-0.69,-0.85,-0.12,1.01,0.15,-1.887235381,
קרני שומרון,0.73,0.82,0.76,0.19,0.55,-1.817584923,
ראמה,-0.34,-0.16,-0.06,-0.68,-0.48,-1.816037135,
ראש העין,0.25,0.29,0.49,-0.11,0.33,4.158424364,
ראש פינה,0.25,0.67,0.64,1.63,1.38,-1.903229189,
ראשון לציון,0.18,0.08,0.26,0.43,0.43,0.932318341,
רהט,-1.46,-1.06,-2.11,0.09,-0.7,-1.864018561,
רחובות,0.71,0.63,0.56,0.69,0.51,-1.416707843,
ריינה,-1.04,-0.73,-0.81,-0.99,-1,-1.808298195,
רכסים,-1.35,-0.08,0.11,-0.96,-0.79,-1.295464453,
רמלה,-1.07,-1.09,-0.74,-0.35,-0.46,-1.115921051,
רמת גן,1.01,0.6,0.86,0.85,0.73,4.283795188,
רמת השרון,1.65,1.71,1.09,1.67,1.58,4.266253591,
רמת ישי,1.27,1.27,0.96,0.89,1.06,-1.693245957,
רעננה,1.65,1.46,1.16,1.25,1.34,4.139334979,
שבלי - אום אל-גנם,-1.22,-1.36,-1.13,-1.12,-1.22,-1.80417076,
שגב-שלום,-1.16,-0.88,-2.58,0.72,-0.74,-1.812425629,
שדרות,-0.72,-0.74,-0.35,0.01,-0.29,-1.645264531,
שוהם,2.14,2.17,1.52,0.1,0.45,0.731621836,
שלומי,-0.53,-0.69,0.09,0.52,0.27,-1.869693784,
שעב,-0.89,-0.75,-1.47,-1.41,-1.41,-1.821712357,
שפרעם,-0.8,-0.77,-1,-0.86,-0.8,-1.844929176,
תל אביב -יפו,1.23,1.08,0.9,0.92,0.95,2.814944421,
תל מונד,2.11,2.29,1.16,0.79,1.13,-0.385881066,
תל שבע,-1.65,-1.44,-4.88,0.64,-0.87,-1.812425629,
